model,clean,gaussian_noise_low,gaussian_noise_medium,gaussian_noise_high,blur_light,blur_heavy,brightness_dark,brightness_bright,jpeg_quality_50,jpeg_quality_20
ResNet50,1.0,0.20276497695852536,0.17511520737327188,0.12903225806451613,0.7557603686635944,0.5898617511520737,0.17972350230414746,0.15668202764976957,0.1152073732718894,0.08755760368663594
EfficientNet-B3,1.0,0.271889400921659,0.2119815668202765,0.2119815668202765,0.9308755760368663,0.8709677419354839,0.3087557603686636,0.24423963133640553,0.14746543778801843,0.17050691244239632
Baseline CNN,0.9447004608294931,0.31797235023041476,0.2119815668202765,0.22119815668202766,0.45161290322580644,0.4147465437788018,0.16589861751152074,0.33640552995391704,0.31336405529953915,0.3317972350230415
